,starting_lat,starting_long,amount
1415,40.11,-77.52000000000001,611
56510,40.495000000000005,-74.24000000000001,11
57214,40.5,-74.25500000000001,2
57215,40.5,-74.25,12
57216,40.5,-74.245,20
57217,40.5,-74.24000000000001,7
57921,40.505,-74.25500000000001,5
57922,40.505,-74.25,7
57923,40.505,-74.245,3
57924,40.505,-74.24000000000001,3
57925,40.505,-74.235,3
57926,40.505,-74.23,2
57927,40.505,-74.22500000000001,1
58628,40.51,-74.25500000000001,14
58629,40.51,-74.25,22
58630,40.51,-74.245,9
58631,40.51,-74.24000000000001,17
58632,40.51,-74.235,2
58636,40.51,-74.215,2
58638,40.51,-74.20500000000001,2
58639,40.51,-74.2,6
59336,40.515,-74.25,1
59337,40.515,-74.245,3
59338,40.515,-74.24000000000001,8
59339,40.515,-74.235,8
59342,40.515,-74.22,6
59343,40.515,-74.215,2
59344,40.515,-74.21000000000001,5
59345,40.515,-74.20500000000001,1
59346,40.515,-74.2,13
59347,40.515,-74.19500000000001,2
60045,40.52,-74.24000000000001,1
60046,40.52,-74.235,1
60047,40.52,-74.23,2
60048,40.52,-74.22500000000001,6
60049,40.52,-74.22,11
60050,40.52,-74.215,15
60051,40.52,-74.21000000000001,4
60052,40.52,-74.20500000000001,5
60053,40.52,-74.2,7
60055,40.52,-74.19000000000001,1
60056,40.52,-74.185,4
60057,40.52,-74.18,1
60058,40.52,-74.17500000000001,3
60751,40.525,-74.245,1
60752,40.525,-74.24000000000001,3
60756,40.525,-74.22,8
60757,40.525,-74.215,2
60758,40.525,-74.21000000000001,11
60759,40.525,-74.20500000000001,10
60760,40.525,-74.2,4
60761,40.525,-74.19500000000001,11
60762,40.525,-74.19000000000001,2
60763,40.525,-74.185,3
60764,40.525,-74.18,2
60765,40.525,-74.17500000000001,2
60766,40.525,-74.17,9
60767,40.525,-74.165,7
60768,40.525,-74.16000000000001,1
61459,40.53,-74.24000000000001,2
61461,40.53,-74.23,1
61463,40.53,-74.22,3
61465,40.53,-74.21000000000001,14
61466,40.53,-74.20500000000001,14
61467,40.53,-74.2,3
61468,40.53,-74.19500000000001,13
61469,40.53,-74.19000000000001,8
61472,40.53,-74.17500000000001,3
61474,40.53,-74.165,1
61475,40.53,-74.16000000000001,12
61476,40.53,-74.155,6
62166,40.535000000000004,-74.24000000000001,8
62169,40.535000000000004,-74.22500000000001,8
62170,40.535000000000004,-74.22,5
62171,40.535000000000004,-74.215,12
62172,40.535000000000004,-74.21000000000001,14
62173,40.535000000000004,-74.20500000000001,14
62174,40.535000000000004,-74.2,1
62175,40.535000000000004,-74.19500000000001,8
62176,40.535000000000004,-74.19000000000001,8
62177,40.535000000000004,-74.185,17
62178,40.535000000000004,-74.18,2
62179,40.535000000000004,-74.17500000000001,3
62180,40.535000000000004,-74.17,1
62181,40.535000000000004,-74.165,5
62182,40.535000000000004,-74.16000000000001,3
62183,40.535000000000004,-74.155,10
62184,40.535000000000004,-74.15,22
62185,40.535000000000004,-74.14500000000001,12
62874,40.54,-74.235,1
62876,40.54,-74.22500000000001,2
62877,40.54,-74.22,9
62878,40.54,-74.215,3
62879,40.54,-74.21000000000001,12
62880,40.54,-74.20500000000001,1
62881,40.54,-74.2,1
62882,40.54,-74.19500000000001,10
62883,40.54,-74.19000000000001,8
62884,40.54,-74.185,20
62885,40.54,-74.18,31
62886,40.54,-74.17500000000001,11
62887,40.54,-74.17,15
62888,40.54,-74.165,6
62889,40.54,-74.16000000000001,5
62890,40.54,-74.155,7
62891,40.54,-74.15,7
62892,40.54,-74.14500000000001,7
63583,40.545,-74.22500000000001,5
63584,40.545,-74.22,20
63585,40.545,-74.215,13
63586,40.545,-74.21000000000001,6
63588,40.545,-74.2,32
63589,40.545,-74.19500000000001,18
63590,40.545,-74.19000000000001,7
63591,40.545,-74.185,5
63592,40.545,-74.18,16
63593,40.545,-74.17500000000001,20
63594,40.545,-74.17,19
63595,40.545,-74.165,5
63596,40.545,-74.16000000000001,10
63597,40.545,-74.155,11
63598,40.545,-74.15,10
63599,40.545,-74.14500000000001,8
63600,40.545,-74.14,3
64291,40.550000000000004,-74.22,2
64292,40.550000000000004,-74.215,23
64293,40.550000000000004,-74.21000000000001,1
64294,40.550000000000004,-74.20500000000001,15
64295,40.550000000000004,-74.2,7
64296,40.550000000000004,-74.19500000000001,26
64297,40.550000000000004,-74.19000000000001,33
64298,40.550000000000004,-74.185,22
64299,40.550000000000004,-74.18,19
64300,40.550000000000004,-74.17500000000001,19
64301,40.550000000000004,-74.17,14
64302,40.550000000000004,-74.165,14
64303,40.550000000000004,-74.16000000000001,13
64304,40.550000000000004,-74.155,22
64305,40.550000000000004,-74.15,20
64306,40.550000000000004,-74.14500000000001,9
64307,40.550000000000004,-74.14,21
64308,40.550000000000004,-74.135,6
64311,40.550000000000004,-74.12,5
64312,40.550000000000004,-74.11500000000001,17
64999,40.555,-74.215,2
65001,40.555,-74.20500000000001,5
65002,40.555,-74.2,8
65005,40.555,-74.185,26
65006,40.555,-74.18,38
65007,40.555,-74.17500000000001,24
65008,40.555,-74.17,47
65009,40.555,-74.165,21
65010,40.555,-74.16000000000001,16
65011,40.555,-74.155,13
65012,40.555,-74.15,6
65013,40.555,-74.14500000000001,42
65014,40.555,-74.14,29
65015,40.555,-74.135,17
65016,40.555,-74.13000000000001,14
65017,40.555,-74.125,22
65018,40.555,-74.12,53
65019,40.555,-74.11500000000001,26
65020,40.555,-74.11,26
65711,40.56,-74.19000000000001,17
65712,40.56,-74.185,28
65713,40.56,-74.18,19
65714,40.56,-74.17500000000001,20
65715,40.56,-74.17,14
65716,40.56,-74.165,12
65717,40.56,-74.16000000000001,6
65718,40.56,-74.155,17
65719,40.56,-74.15,42
65720,40.56,-74.14500000000001,4
65721,40.56,-74.14,5
65722,40.56,-74.135,11
65723,40.56,-74.13000000000001,20
65724,40.56,-74.125,5
65725,40.56,-74.12,11
65726,40.56,-74.11500000000001,13
65727,40.56,-74.11,32
65728,40.56,-74.105,67
65729,40.56,-74.10000000000001,15
66419,40.565000000000005,-74.185,18
66425,40.565000000000005,-74.155,41
66426,40.565000000000005,-74.15,6
66427,40.565000000000005,-74.14500000000001,5
66428,40.565000000000005,-74.14,7
66429,40.565000000000005,-74.135,6
66430,40.565000000000005,-74.13000000000001,14
66431,40.565000000000005,-74.125,13
66432,40.565000000000005,-74.12,2
66433,40.565000000000005,-74.11500000000001,8
66434,40.565000000000005,-74.11,22
66435,40.565000000000005,-74.105,11
66436,40.565000000000005,-74.10000000000001,1
66437,40.565000000000005,-74.095,1
67133,40.57,-74.15,2
67134,40.57,-74.14500000000001,5
67135,40.57,-74.14,10
67136,40.57,-74.135,5
67137,40.57,-74.13000000000001,9
67138,40.57,-74.125,9
67139,40.57,-74.12,17
67140,40.57,-74.11500000000001,17
67141,40.57,-74.11,23
67142,40.57,-74.105,13
67143,40.57,-74.10000000000001,26
67144,40.57,-74.095,49
67145,40.57,-74.09,11
67161,40.57,-74.01,6
67162,40.57,-74.00500000000001,10
67836,40.575,-74.17,1
67837,40.575,-74.165,1
67838,40.575,-74.16000000000001,2
67841,40.575,-74.14500000000001,2
67842,40.575,-74.14,3
67843,40.575,-74.135,3
67844,40.575,-74.13000000000001,7
67845,40.575,-74.125,10
67846,40.575,-74.12,36
67847,40.575,-74.11500000000001,2
67848,40.575,-74.11,8
67849,40.575,-74.105,17
67850,40.575,-74.10000000000001,33
67851,40.575,-74.095,20
67852,40.575,-74.09,8
67853,40.575,-74.08500000000001,15
67854,40.575,-74.08000000000001,5
67867,40.575,-74.015,6
67868,40.575,-74.01,8
67869,40.575,-74.00500000000001,20
68545,40.58,-74.16000000000001,4
68546,40.58,-74.155,7
68547,40.58,-74.15,3
68550,40.58,-74.135,1
68551,40.58,-74.13000000000001,4
68554,40.58,-74.11500000000001,2
68555,40.58,-74.11,13
68556,40.58,-74.105,15
68557,40.58,-74.10000000000001,26
68558,40.58,-74.095,14
68559,40.58,-74.09,23
68560,40.58,-74.08500000000001,1
68561,40.58,-74.08000000000001,1
68576,40.58,-74.00500000000001,9
69245,40.585,-74.19500000000001,5
69246,40.585,-74.19000000000001,9
69250,40.585,-74.17,4
69251,40.585,-74.165,13
69252,40.585,-74.16000000000001,5
69253,40.585,-74.155,7
69254,40.585,-74.15,15
69261,40.585,-74.11500000000001,1
69262,40.585,-74.11,1
69263,40.585,-74.105,11
69264,40.585,-74.10000000000001,31
69265,40.585,-74.095,19
69266,40.585,-74.09,8
69268,40.585,-74.08000000000001,2
69269,40.585,-74.075,12
69270,40.585,-74.07000000000001,1
69952,40.59,-74.19500000000001,8
69953,40.59,-74.19000000000001,16
69954,40.59,-74.185,14
69958,40.59,-74.165,20
69959,40.59,-74.16000000000001,44
69960,40.59,-74.155,13
69961,40.59,-74.15,2
69962,40.59,-74.14500000000001,4
69963,40.59,-74.14,19
69969,40.59,-74.11,1
69970,40.59,-74.105,9
69971,40.59,-74.10000000000001,22
69972,40.59,-74.095,19
69973,40.59,-74.09,18
69974,40.59,-74.08500000000001,16
69975,40.59,-74.08000000000001,13
69976,40.59,-74.075,17
69977,40.59,-74.07000000000001,48
69978,40.59,-74.06500000000001,26
70661,40.595,-74.185,3
70664,40.595,-74.17,8
70665,40.595,-74.165,8
70666,40.595,-74.16000000000001,3
70669,40.595,-74.14500000000001,4
70670,40.595,-74.14,3
70671,40.595,-74.135,7
70672,40.595,-74.13000000000001,10
70674,40.595,-74.12,1
70675,40.595,-74.11500000000001,2
70676,40.595,-74.11,3
70677,40.595,-74.105,3
70678,40.595,-74.10000000000001,4
70679,40.595,-74.095,2
70680,40.595,-74.09,12
70681,40.595,-74.08500000000001,6
70682,40.595,-74.08000000000001,6
70683,40.595,-74.075,11
70684,40.595,-74.07000000000001,24
70685,40.595,-74.06500000000001,41
70696,40.595,-74.01,13
70697,40.595,-74.00500000000001,191
71366,40.6,-74.19500000000001,3
71369,40.6,-74.18,2
71370,40.6,-74.17500000000001,1
71371,40.6,-74.17,6
71372,40.6,-74.165,8
71375,40.6,-74.15,1
71376,40.6,-74.14500000000001,1
71377,40.6,-74.14,4
71378,40.6,-74.135,23
71379,40.6,-74.13000000000001,47
71380,40.6,-74.125,9
71381,40.6,-74.12,3
71382,40.6,-74.11500000000001,8
71383,40.6,-74.11,2
71384,40.6,-74.105,1
71385,40.6,-74.10000000000001,27
71386,40.6,-74.095,18
71387,40.6,-74.09,7
71388,40.6,-74.08500000000001,12
71389,40.6,-74.08000000000001,25
71390,40.6,-74.075,10
71391,40.6,-74.07000000000001,11
71392,40.6,-74.06500000000001,12
71393,40.6,-74.06,1
71401,40.6,-74.02000000000001,6
71402,40.6,-74.015,28
71403,40.6,-74.01,44
71404,40.6,-74.00500000000001,30
72077,40.605000000000004,-74.17500000000001,7
72078,40.605000000000004,-74.17,11
72079,40.605000000000004,-74.165,19
72080,40.605000000000004,-74.16000000000001,21
72081,40.605000000000004,-74.155,6
72082,40.605000000000004,-74.15,3
72083,40.605000000000004,-74.14500000000001,7
72084,40.605000000000004,-74.14,6
72085,40.605000000000004,-74.135,27
72086,40.605000000000004,-74.13000000000001,32
72087,40.605000000000004,-74.125,14
72088,40.605000000000004,-74.12,10
72089,40.605000000000004,-74.11500000000001,6
72091,40.605000000000004,-74.105,1
72092,40.605000000000004,-74.10000000000001,5
72093,40.605000000000004,-74.095,11
72094,40.605000000000004,-74.09,20
72095,40.605000000000004,-74.08500000000001,13
72096,40.605000000000004,-74.08000000000001,14
72097,40.605000000000004,-74.075,7
72098,40.605000000000004,-74.07000000000001,12
72099,40.605000000000004,-74.06500000000001,8
72100,40.605000000000004,-74.06,4
72104,40.605000000000004,-74.04,1
72106,40.605000000000004,-74.03,2
72108,40.605000000000004,-74.02000000000001,2
72109,40.605000000000004,-74.015,17
72110,40.605000000000004,-74.01,19
72111,40.605000000000004,-74.00500000000001,38
72781,40.61,-74.19000000000001,1
72783,40.61,-74.18,1
72785,40.61,-74.17,7
72786,40.61,-74.165,14
72787,40.61,-74.16000000000001,19
72788,40.61,-74.155,7
72789,40.61,-74.15,13
72790,40.61,-74.14500000000001,3
72791,40.61,-74.14,71
72792,40.61,-74.135,22
72793,40.61,-74.13000000000001,32
72794,40.61,-74.125,68
72795,40.61,-74.12,13
72796,40.61,-74.11500000000001,11
72797,40.61,-74.11,12
72798,40.61,-74.105,14
72799,40.61,-74.10000000000001,10
72800,40.61,-74.095,2
72801,40.61,-74.09,24
72802,40.61,-74.08500000000001,16
72803,40.61,-74.08000000000001,18
72804,40.61,-74.075,20
72805,40.61,-74.07000000000001,30
72806,40.61,-74.06500000000001,14
72811,40.61,-74.04,7
72812,40.61,-74.03500000000001,9
72813,40.61,-74.03,2
72816,40.61,-74.015,14
72817,40.61,-74.01,16
72818,40.61,-74.00500000000001,58
73492,40.615,-74.17,12
73493,40.615,-74.165,7
73494,40.615,-74.16000000000001,12
73495,40.615,-74.155,28
73496,40.615,-74.15,25
73497,40.615,-74.14500000000001,23
73498,40.615,-74.14,13
73499,40.615,-74.135,14
73500,40.615,-74.13000000000001,13
73501,40.615,-74.125,22
73502,40.615,-74.12,14
73503,40.615,-74.11500000000001,1
73504,40.615,-74.11,2
73505,40.615,-74.105,7
73506,40.615,-74.10000000000001,8
73507,40.615,-74.095,7
73508,40.615,-74.09,46
73509,40.615,-74.08500000000001,49
73510,40.615,-74.08000000000001,7
73511,40.615,-74.075,16
73512,40.615,-74.07000000000001,10
73513,40.615,-74.06500000000001,6
73518,40.615,-74.04,8
73519,40.615,-74.03500000000001,34
73520,40.615,-74.03,25
73521,40.615,-74.025,27
73522,40.615,-74.02000000000001,17
73523,40.615,-74.015,5
73524,40.615,-74.01,22
73525,40.615,-74.00500000000001,15
74199,40.620000000000005,-74.17,4
74200,40.620000000000005,-74.165,54
74201,40.620000000000005,-74.16000000000001,30
74202,40.620000000000005,-74.155,10
74203,40.620000000000005,-74.15,12
74204,40.620000000000005,-74.14500000000001,15
74205,40.620000000000005,-74.14,20
74206,40.620000000000005,-74.135,45
74207,40.620000000000005,-74.13000000000001,24
74208,40.620000000000005,-74.125,14
74209,40.620000000000005,-74.12,1
74210,40.620000000000005,-74.11500000000001,9
74212,40.620000000000005,-74.105,1
74215,40.620000000000005,-74.09,16
74216,40.620000000000005,-74.08500000000001,46
74217,40.620000000000005,-74.08000000000001,25
74218,40.620000000000005,-74.075,13
74224,40.620000000000005,-74.045,4
74225,40.620000000000005,-74.04,4
74226,40.620000000000005,-74.03500000000001,22
74227,40.620000000000005,-74.03,54
74228,40.620000000000005,-74.025,42
74229,40.620000000000005,-74.02000000000001,25
74230,40.620000000000005,-74.015,14
74231,40.620000000000005,-74.01,18
74232,40.620000000000005,-74.00500000000001,30
74904,40.625,-74.18,1
74906,40.625,-74.17,13
74907,40.625,-74.165,22
74908,40.625,-74.16000000000001,70
74909,40.625,-74.155,40
74910,40.625,-74.15,45
74911,40.625,-74.14500000000001,31
74912,40.625,-74.14,41
74913,40.625,-74.135,78
74914,40.625,-74.13000000000001,77
74915,40.625,-74.125,27
74916,40.625,-74.12,32
74917,40.625,-74.11500000000001,32
74918,40.625,-74.11,11
74919,40.625,-74.105,15
74921,40.625,-74.095,12
74922,40.625,-74.09,4
74923,40.625,-74.08500000000001,60
74924,40.625,-74.08000000000001,32
74925,40.625,-74.075,2
74931,40.625,-74.045,1
74932,40.625,-74.04,7
74933,40.625,-74.03500000000001,14
74934,40.625,-74.03,19
74935,40.625,-74.025,51
74936,40.625,-74.02000000000001,70
74937,40.625,-74.015,15
74938,40.625,-74.01,14
74939,40.625,-74.00500000000001,70
75613,40.63,-74.17,16
75614,40.63,-74.165,13
75615,40.63,-74.16000000000001,38
75616,40.63,-74.155,12
75617,40.63,-74.15,25
75618,40.63,-74.14500000000001,36
75619,40.63,-74.14,42
75620,40.63,-74.135,57
75621,40.63,-74.13000000000001,35
75622,40.63,-74.125,61
75623,40.63,-74.12,31
75624,40.63,-74.11500000000001,8
75625,40.63,-74.11,19
75626,40.63,-74.105,12
75627,40.63,-74.10000000000001,18
75628,40.63,-74.095,41
75629,40.63,-74.09,27
75630,40.63,-74.08500000000001,28
75631,40.63,-74.08000000000001,42
75639,40.63,-74.04,14
75640,40.63,-74.03500000000001,8
75641,40.63,-74.03,48
75642,40.63,-74.025,33
75643,40.63,-74.02000000000001,14
75644,40.63,-74.015,40
75645,40.63,-74.01,48
75646,40.63,-74.00500000000001,39
76319,40.635,-74.17500000000001,19
76320,40.635,-74.17,15
76321,40.635,-74.165,27
76322,40.635,-74.16000000000001,26
76323,40.635,-74.155,35
76324,40.635,-74.15,20
76325,40.635,-74.14500000000001,14
76326,40.635,-74.14,30
76327,40.635,-74.135,39
76328,40.635,-74.13000000000001,32
76329,40.635,-74.125,63
76330,40.635,-74.12,36
76331,40.635,-74.11500000000001,36
76332,40.635,-74.11,15
76333,40.635,-74.105,2
76334,40.635,-74.10000000000001,3
76335,40.635,-74.095,21
76336,40.635,-74.09,82
76337,40.635,-74.08500000000001,117
76338,40.635,-74.08000000000001,38
76339,40.635,-74.075,3
76346,40.635,-74.04,12
76347,40.635,-74.03500000000001,27
76348,40.635,-74.03,41
76349,40.635,-74.025,21
76350,40.635,-74.02000000000001,35
76351,40.635,-74.015,94
76352,40.635,-74.01,31
76353,40.635,-74.00500000000001,46
77026,40.64,-74.17500000000001,1
77027,40.64,-74.17,10
77033,40.64,-74.14,1
77034,40.64,-74.135,6
77037,40.64,-74.12,9
77038,40.64,-74.11500000000001,15
77039,40.64,-74.11,5
77041,40.64,-74.10000000000001,15
77042,40.64,-74.095,18
77043,40.64,-74.09,39
77044,40.64,-74.08500000000001,30
77045,40.64,-74.08000000000001,41
77046,40.64,-74.075,3
77055,40.64,-74.03,3
77056,40.64,-74.025,20
77057,40.64,-74.02000000000001,64
77058,40.64,-74.015,87
77059,40.64,-74.01,48
77060,40.64,-74.00500000000001,24
77747,40.645,-74.105,1
77749,40.645,-74.095,5
77750,40.645,-74.09,29
77751,40.645,-74.08500000000001,2
77752,40.645,-74.08000000000001,1
77763,40.645,-74.025,4
77764,40.645,-74.02000000000001,23
77765,40.645,-74.015,82
77766,40.645,-74.01,64
77767,40.645,-74.00500000000001,20
78471,40.65,-74.02000000000001,1
78472,40.65,-74.015,48
78473,40.65,-74.01,87
78474,40.65,-74.00500000000001,13
79178,40.655,-74.02000000000001,1
79179,40.655,-74.015,1
79180,40.655,-74.01,2
79181,40.655,-74.00500000000001,63
79888,40.660000000000004,-74.00500000000001,1
80594,40.665,-74.01,1
81299,40.67,-74.02000000000001,1
81300,40.67,-74.015,4
81301,40.67,-74.01,2
81302,40.67,-74.00500000000001,7
82006,40.675000000000004,-74.02000000000001,2
82007,40.675000000000004,-74.015,40
82008,40.675000000000004,-74.01,9
82009,40.675000000000004,-74.00500000000001,71
82712,40.68,-74.025,1
82715,40.68,-74.01,4
82716,40.68,-74.00500000000001,154
83422,40.685,-74.01,1
83423,40.685,-74.00500000000001,33
84127,40.690000000000005,-74.02000000000001,1
84130,40.690000000000005,-74.00500000000001,2
85541,40.7,-74.02000000000001,1
85542,40.7,-74.015,39
85543,40.7,-74.01,8
86248,40.705,-74.02000000000001,20
86249,40.705,-74.015,155
86250,40.705,-74.01,134
86251,40.705,-74.00500000000001,151
86955,40.71,-74.02000000000001,18
86956,40.71,-74.015,12
86957,40.71,-74.01,223
86958,40.71,-74.00500000000001,115
87662,40.715,-74.02000000000001,8
87663,40.715,-74.015,86
87664,40.715,-74.01,179
87665,40.715,-74.00500000000001,104
88370,40.72,-74.015,59
88371,40.72,-74.01,134
88372,40.72,-74.00500000000001,208
89077,40.725,-74.015,5
89078,40.725,-74.01,54
89079,40.725,-74.00500000000001,355
89784,40.730000000000004,-74.015,4
89785,40.730000000000004,-74.01,133
89786,40.730000000000004,-74.00500000000001,313
90492,40.735,-74.01,83
90493,40.735,-74.00500000000001,254
91199,40.74,-74.01,15
91200,40.74,-74.00500000000001,150
91906,40.745000000000005,-74.01,25
91907,40.745000000000005,-74.00500000000001,138
92613,40.75,-74.01,4
92614,40.75,-74.00500000000001,48
93321,40.755,-74.00500000000001,8
94028,40.76,-74.00500000000001,2
